StoreID,ProductID,SnapshotDate,QuantityOnHand,ReorderLevel,OnOrderQty,LastModifiedDate,SourceSystem
278,,2025-01-11,21,29,70,2025-01-14,INVENTORY
678,,2025-01-03,143,25,2,2025-01-06,INVENTORY
506,,2025-01-25,32,18,3,2025-01-26,INVENTORY
285,,2025-01-12,154,30,48,2025-01-14,INVENTORY
31,,2025-01-05,192,44,47,2025-01-08,INVENTORY
550,,2025-01-31,13,30,52,2025-02-02,INVENTORY
31,,2025-01-16,2,6,51,2025-01-17,INVENTORY
373,,2025-01-20,76,18,6,2025-01-22,INVENTORY
338,,2025-01-12,124,38,66,2025-01-13,INVENTORY
298,,2025-01-24,237,20,29,2025-01-25,INVENTORY
76,,2025-01-26,115,11,84,2025-01-28,INVENTORY
527,,2025-01-10,167,29,45,2025-01-13,INVENTORY
432,,2025-01-18,237,16,11,2025-01-21,INVENTORY
764,,2025-01-02,147,36,100,2025-01-05,INVENTORY
431,,2025-01-16,30,21,13,2025-01-19,INVENTORY
530,,2025-01-20,234,27,45,2025-01-23,INVENTORY
94,,2025-01-01,82,24,25,2025-01-02,INVENTORY
181,,2025-01-25,32,17,46,2025-01-27,INVENTORY
143,,2025-01-25,176,26,57,2025-01-25,INVENTORY
657,,2025-01-29,5,14,71,2025-01-29,INVENTORY
7,,2025-01-08,106,30,96,2025-01-08,INVENTORY
458,,2025-01-05,134,11,15,2025-01-05,INVENTORY
412,,2025-01-12,47,33,97,2025-01-13,INVENTORY
42,,2025-01-12,66,7,83,2025-01-13,INVENTORY
73,,2025-01-01,44,32,62,2025-01-02,INVENTORY
596,,2025-01-01,84,12,5,2025-01-03,INVENTORY
437,,2025-01-08,118,18,110,2025-01-09,INVENTORY
497,,2025-01-07,9,22,117,2025-01-09,INVENTORY
356,,2025-01-23,239,5,84,2025-01-25,INVENTORY
337,,2025-01-28,207,32,112,2025-01-28,INVENTORY
494,,2025-01-24,227,30,64,2025-01-25,INVENTORY
216,,2025-01-01,207,25,74,2025-01-03,INVENTORY
483,,2025-01-17,209,20,87,2025-01-19,INVENTORY
536,,2025-01-03,49,19,117,2025-01-04,INVENTORY
320,,2025-01-02,55,11,92,2025-01-04,INVENTORY
666,,2025-01-19,183,35,82,2025-01-22,INVENTORY
743,,2025-01-13,68,25,112,2025-01-15,INVENTORY
655,,2025-01-17,127,31,92,2025-01-20,INVENTORY
546,,2025-01-03,192,40,101,2025-01-06,INVENTORY
762,,2025-01-16,71,44,35,2025-01-19,INVENTORY
630,,2025-01-10,23,23,81,2025-01-12,INVENTORY
568,,2025-01-20,75,18,91,2025-01-21,INVENTORY
83,,2025-01-12,106,21,26,2025-01-15,INVENTORY
33,,2025-01-28,197,44,38,2025-01-31,INVENTORY
510,,2025-01-02,227,14,71,2025-01-04,INVENTORY
357,,2025-01-23,216,29,70,2025-01-24,INVENTORY
307,,2025-01-12,198,43,23,2025-01-13,INVENTORY
491,,2025-01-29,15,37,58,2025-01-29,INVENTORY
361,,2025-01-11,18,29,48,2025-01-12,INVENTORY
192,,2025-01-16,168,25,23,2025-01-18,INVENTORY
63,,2025-01-29,198,34,18,2025-02-01,INVENTORY
493,,2025-01-22,172,7,30,2025-01-24,INVENTORY
375,,2025-01-27,207,28,106,2025-01-27,INVENTORY
495,,2025-01-29,185,28,100,2025-02-01,INVENTORY
330,,2025-01-09,113,38,20,2025-01-09,INVENTORY
498,,2025-01-22,136,27,101,2025-01-23,INVENTORY
451,,2025-01-24,25,17,45,2025-01-26,INVENTORY
281,,2025-01-31,206,22,59,2025-02-02,INVENTORY
777,,2025-01-29,22,11,32,2025-01-30,INVENTORY
272,,2025-01-09,27,23,110,2025-01-11,INVENTORY
765,,2025-01-06,77,7,7,2025-01-08,INVENTORY
431,,2025-01-07,99,43,68,2025-01-10,INVENTORY
339,,2025-01-15,116,29,102,2025-01-18,INVENTORY
560,,2025-01-11,47,34,21,2025-01-14,INVENTORY
607,,2025-01-19,86,37,12,2025-01-21,INVENTORY
29,,2025-01-19,14,23,54,2025-01-20,INVENTORY
468,,2025-01-04,70,36,25,2025-01-05,INVENTORY
496,,2025-01-13,184,11,32,2025-01-13,INVENTORY
320,,2025-01-04,219,15,28,2025-01-07,INVENTORY
59,,2025-01-16,144,20,101,2025-01-17,INVENTORY
273,,2025-01-13,89,22,26,2025-01-16,INVENTORY
584,,2025-01-21,141,28,39,2025-01-21,INVENTORY
755,,2025-01-25,142,30,21,2025-01-25,INVENTORY
105,,2025-01-17,106,16,44,2025-01-18,INVENTORY
543,,2025-01-04,98,18,20,2025-01-06,INVENTORY
9999,45523.0,2025-01-17,223,29,46,2025-01-19,INVENTORY
9999,34836.0,2025-01-20,25,9,114,2025-01-20,INVENTORY
9999,36920.0,2025-01-08,59,39,112,2025-01-08,INVENTORY
9999,38419.0,2025-01-01,35,16,21,2025-01-02,INVENTORY
9999,44079.0,2025-01-11,239,36,41,2025-01-12,INVENTORY
9999,49138.0,2025-01-27,66,24,39,2025-01-27,INVENTORY
9999,34396.0,2025-01-06,106,17,82,2025-01-09,INVENTORY
9999,10711.0,2025-01-03,197,34,49,2025-01-04,INVENTORY
9999,46808.0,2025-01-21,188,39,61,2025-01-23,INVENTORY
9999,22324.0,2025-01-31,93,20,91,2025-02-01,INVENTORY
9999,30771.0,2025-01-26,4,16,79,2025-01-29,INVENTORY
9999,49454.0,2025-01-25,137,21,71,2025-01-26,INVENTORY
9999,16934.0,2025-01-03,97,44,9,2025-01-04,INVENTORY
9999,21160.0,2025-01-04,100,25,30,2025-01-07,INVENTORY
9999,16095.0,2025-01-28,191,34,18,2025-01-28,INVENTORY
9999,11421.0,2025-01-18,208,18,74,2025-01-18,INVENTORY
9999,30881.0,2025-01-03,224,19,106,2025-01-05,INVENTORY
9999,34569.0,2025-01-06,99,42,103,2025-01-09,INVENTORY
9999,47741.0,2025-01-11,222,22,26,2025-01-12,INVENTORY
9999,45413.0,2025-01-23,11,37,44,2025-01-26,INVENTORY
9999,45075.0,2025-01-01,205,31,24,2025-01-03,INVENTORY
9999,17986.0,2025-01-11,63,15,65,2025-01-13,INVENTORY
9999,47259.0,2025-01-24,91,24,100,2025-01-25,INVENTORY
9999,5710.0,2025-01-28,62,29,105,2025-01-30,INVENTORY
9999,20710.0,2025-01-02,57,14,46,2025-01-03,INVENTORY
9999,5498.0,2025-01-05,149,6,94,2025-01-08,INVENTORY
9999,31199.0,2025-01-03,147,19,22,2025-01-04,INVENTORY
9999,11118.0,2025-01-10,191,40,9,2025-01-12,INVENTORY
9999,377.0,2025-01-16,142,14,104,2025-01-16,INVENTORY
9999,23154.0,2025-01-08,99,26,79,2025-01-08,INVENTORY
9999,17569.0,2025-01-29,207,31,96,2025-01-30,INVENTORY
9999,6520.0,2025-01-14,244,13,18,2025-01-17,INVENTORY
9999,12565.0,2025-01-29,29,12,18,2025-01-31,INVENTORY
9999,9321.0,2025-01-02,248,39,31,2025-01-02,INVENTORY
9999,7218.0,2025-01-05,162,17,112,2025-01-06,INVENTORY
9999,44048.0,2025-01-31,193,25,45,2025-02-03,INVENTORY
9999,48975.0,2025-01-12,9,13,53,2025-01-12,INVENTORY
9999,2512.0,2025-01-17,62,33,38,2025-01-19,INVENTORY
9999,2729.0,2025-01-04,223,28,83,2025-01-07,INVENTORY
9999,34302.0,2025-01-24,207,34,63,2025-01-24,INVENTORY
9999,28009.0,2025-01-15,191,10,44,2025-01-16,INVENTORY
9999,26334.0,2025-01-10,237,11,34,2025-01-11,INVENTORY
9999,42202.0,2025-01-31,139,40,52,2025-02-03,INVENTORY
9999,35878.0,2025-01-11,104,44,36,2025-01-11,INVENTORY
9999,21903.0,2025-01-01,62,40,86,2025-01-02,INVENTORY
9999,42263.0,2025-01-21,158,22,48,2025-01-21,INVENTORY
9999,38109.0,2025-01-14,71,6,58,2025-01-14,INVENTORY
9999,34431.0,2025-01-12,54,15,111,2025-01-15,INVENTORY
9999,14175.0,2025-01-30,53,12,109,2025-01-31,INVENTORY
9999,14736.0,2025-01-19,59,38,70,2025-01-19,INVENTORY
9999,2480.0,2025-01-11,18,43,14,2025-01-11,INVENTORY
9999,34639.0,2025-01-26,118,32,89,2025-01-28,INVENTORY
9999,17266.0,2025-01-03,52,36,94,2025-01-05,INVENTORY
9999,31948.0,2025-01-31,190,11,51,2025-02-03,INVENTORY
9999,25647.0,2025-01-09,130,21,20,2025-01-10,INVENTORY
9999,29402.0,2025-01-16,68,34,80,2025-01-19,INVENTORY
9999,20775.0,2025-01-23,201,38,75,2025-01-26,INVENTORY
9999,49564.0,2025-01-30,112,15,61,2025-02-01,INVENTORY
9999,15881.0,2025-01-06,242,26,103,2025-01-08,INVENTORY
9999,49084.0,2025-01-11,131,33,29,2025-01-12,INVENTORY
9999,31389.0,2025-01-21,75,29,62,2025-01-23,INVENTORY
9999,565.0,2025-01-25,189,20,74,2025-01-26,INVENTORY
9999,8827.0,2025-01-10,160,28,38,2025-01-11,INVENTORY
9999,1415.0,2025-01-20,183,15,52,2025-01-22,INVENTORY
9999,2314.0,2025-01-18,215,11,73,2025-01-21,INVENTORY
9999,35735.0,2025-01-29,34,17,109,2025-01-29,INVENTORY
9999,24165.0,2025-01-01,145,18,87,2025-01-03,INVENTORY
9999,23737.0,2025-01-13,248,19,47,2025-01-16,INVENTORY
9999,1617.0,2025-01-08,39,44,4,2025-01-09,INVENTORY
9999,48143.0,2025-01-10,215,37,26,2025-01-13,INVENTORY
9999,33264.0,2025-01-06,39,17,110,2025-01-08,INVENTORY
9999,34625.0,2025-01-28,147,42,73,2025-01-30,INVENTORY
9999,31925.0,2025-01-31,208,41,93,2025-02-02,INVENTORY
9999,24193.0,2025-01-25,115,24,37,2025-01-25,INVENTORY
9999,34330.0,2025-01-20,47,40,79,2025-01-22,INVENTORY
9999,25221.0,2025-01-11,231,33,52,2025-01-14,INVENTORY
9999,48091.0,2025-01-23,192,23,118,2025-01-26,INVENTORY
9999,48374.0,2025-01-19,231,33,29,2025-01-19,INVENTORY
9999,35062.0,2025-01-04,106,17,52,2025-01-04,INVENTORY
9999,18462.0,2025-01-14,240,25,14,2025-01-14,INVENTORY
9999,45051.0,2025-01-06,222,19,83,2025-01-09,INVENTORY
9999,19133.0,2025-01-23,202,6,98,2025-01-25,INVENTORY
9999,44097.0,2025-01-14,243,20,67,2025-01-15,INVENTORY
9999,47451.0,2025-01-24,225,12,68,2025-01-27,INVENTORY
9999,1814.0,2025-01-26,85,20,86,2025-01-29,INVENTORY
9999,15709.0,2025-01-27,49,6,5,2025-01-28,INVENTORY
9999,40895.0,2025-01-22,214,38,29,2025-01-25,INVENTORY
9999,5927.0,2025-01-03,139,15,97,2025-01-03,INVENTORY
9999,28612.0,2025-01-16,30,21,0,2025-01-18,INVENTORY
9999,38463.0,2025-01-14,197,44,100,2025-01-15,INVENTORY
9999,21702.0,2025-01-06,125,40,65,2025-01-06,INVENTORY
9999,30282.0,2025-01-23,157,23,17,2025-01-26,INVENTORY
9999,48075.0,2025-01-24,129,23,83,2025-01-25,INVENTORY
9999,37500.0,2025-01-28,190,6,0,2025-01-29,INVENTORY
9999,39103.0,2025-01-24,66,30,90,2025-01-25,INVENTORY
9999,18657.0,2025-01-17,200,33,66,2025-01-20,INVENTORY
9999,48354.0,2025-01-06,249,41,114,2025-01-09,INVENTORY
9999,29492.0,2025-01-24,205,16,6,2025-01-26,INVENTORY
9999,22619.0,2025-01-31,221,22,53,2025-02-01,INVENTORY
9999,30186.0,2025-01-30,191,25,114,2025-01-30,INVENTORY
149,19204.0,2025-01-27,-6,33,0,2025-01-29,INVENTORY
161,37637.0,2025-01-27,-14,15,64,2025-01-27,INVENTORY
576,49105.0,2025-01-30,-17,16,71,2025-02-01,INVENTORY
608,20947.0,2025-01-25,-18,25,54,2025-01-27,INVENTORY
763,38052.0,2025-01-26,-14,16,6,2025-01-27,INVENTORY
747,11192.0,2025-01-04,-3,36,71,2025-01-06,INVENTORY
9,21065.0,2025-01-04,-9,23,14,2025-01-05,INVENTORY
7,39816.0,2025-01-22,-10,41,4,2025-01-25,INVENTORY
415,28765.0,2025-01-14,-19,38,118,2025-01-15,INVENTORY
570,27961.0,2025-01-26,-1,37,3,2025-01-27,INVENTORY
192,29201.0,2025-01-21,-12,37,73,2025-01-21,INVENTORY
409,22099.0,2025-01-24,-17,15,54,2025-01-26,INVENTORY
206,16559.0,2025-01-24,-13,13,34,2025-01-27,INVENTORY
694,40121.0,2025-01-31,-9,20,92,2025-01-31,INVENTORY
432,12223.0,2025-01-29,-9,11,71,2025-01-31,INVENTORY
523,23359.0,2025-01-10,-3,25,114,2025-01-12,INVENTORY
613,27581.0,2025-01-01,-3,23,74,2025-01-02,INVENTORY
32,20378.0,2025-01-19,-3,22,49,2025-01-22,INVENTORY
687,36817.0,2025-01-24,-9,25,98,2025-01-26,INVENTORY
483,12721.0,2025-01-15,-6,9,54,2025-01-16,INVENTORY
212,33421.0,2025-01-25,-17,23,32,2025-01-27,INVENTORY
21,28068.0,2025-01-26,-12,37,56,2025-01-27,INVENTORY
657,38355.0,2025-01-07,-5,31,7,2025-01-08,INVENTORY
259,49791.0,2025-01-21,-10,8,88,2025-01-23,INVENTORY
490,576.0,2025-01-07,-11,28,41,2025-01-08,INVENTORY
149,22294.0,2025-01-10,-2,7,54,2025-01-12,INVENTORY
744,9093.0,2025-01-17,-8,9,75,2025-01-20,INVENTORY
718,19290.0,2025-01-01,-17,19,9,2025-01-02,INVENTORY
455,42122.0,2025-01-31,-11,32,105,2025-02-01,INVENTORY
66,47041.0,2025-01-17,-4,12,90,2025-01-18,INVENTORY
534,20530.0,2025-01-04,-8,18,83,2025-01-06,INVENTORY
566,34863.0,2025-01-14,-2,13,101,2025-01-17,INVENTORY
580,18185.0,2025-01-28,-9,26,57,2025-01-29,INVENTORY
633,9619.0,2025-01-17,-18,38,20,2025-01-20,INVENTORY
727,9995.0,2025-01-22,-6,13,62,2025-01-25,INVENTORY
256,10688.0,2025-01-31,-9,20,2,2025-02-01,INVENTORY
120,20025.0,2025-01-15,-13,16,15,2025-01-16,INVENTORY
407,20363.0,2025-01-02,-8,40,107,2025-01-02,INVENTORY
58,17576.0,2025-01-26,-11,25,43,2025-01-29,INVENTORY
698,29721.0,2025-01-03,-5,43,14,2025-01-03,INVENTORY
99,6933.0,2025-01-09,-4,40,19,2025-01-10,INVENTORY
550,41663.0,2025-01-27,-9,24,84,2025-01-28,INVENTORY
101,42788.0,2025-01-15,-18,41,65,2025-01-16,INVENTORY
492,35029.0,2025-01-13,-6,6,62,2025-01-14,INVENTORY
380,41420.0,2025-01-04,-10,38,66,2025-01-04,INVENTORY
533,41589.0,2025-01-16,-16,41,29,2025-01-18,INVENTORY
725,47231.0,2025-01-04,-13,18,91,2025-01-05,INVENTORY
191,33284.0,2025-01-21,-17,13,102,2025-01-23,INVENTORY
522,40671.0,2025-01-30,-14,38,81,2025-01-30,INVENTORY
498,16806.0,2025-01-04,-19,24,73,2025-01-06,INVENTORY
625,36333.0,2025-01-06,-8,10,108,2025-01-07,INVENTORY
597,48632.0,2025-01-07,-5,12,7,2025-01-09,INVENTORY
676,46309.0,2025-01-01,-7,34,1,2025-01-04,INVENTORY
220,41487.0,2025-01-21,-13,29,0,2025-01-22,INVENTORY
400,45630.0,2025-01-18,-8,21,107,2025-01-18,INVENTORY
134,14447.0,2025-01-13,-2,29,110,2025-01-15,INVENTORY
93,14712.0,2025-01-10,-8,43,75,2025-01-11,INVENTORY
618,47459.0,2025-01-11,-9,38,21,2025-01-14,INVENTORY
780,47816.0,2025-01-02,-9,31,37,2025-01-03,INVENTORY
225,10202.0,2025-01-18,-14,38,88,2025-01-20,INVENTORY
667,43124.0,2025-01-07,-13,43,85,2025-01-10,INVENTORY
225,1496.0,2025-01-08,-17,36,112,2025-01-09,INVENTORY
764,38267.0,2025-01-17,-9,15,70,2025-01-19,INVENTORY
169,1042.0,2025-01-22,-8,9,54,2025-01-23,INVENTORY
10,47262.0,2025-01-26,-2,23,45,2025-01-28,INVENTORY
479,44673.0,2025-01-14,-18,29,11,2025-01-16,INVENTORY
679,17828.0,2025-01-05,-14,21,103,2025-01-06,INVENTORY
147,23279.0,2025-01-17,-9,42,85,2025-01-17,INVENTORY
272,38051.0,2025-01-11,-7,6,115,2025-01-12,INVENTORY
365,35637.0,2025-01-08,-12,24,102,2025-01-11,INVENTORY
730,15763.0,2025-01-25,-4,29,97,2025-01-27,INVENTORY
456,7681.0,2025-01-05,-12,44,55,2025-01-06,INVENTORY
83,947.0,2025-01-11,-11,12,25,2025-01-13,INVENTORY
398,40535.0,2025-01-06,-15,16,102,2025-01-07,INVENTORY
407,45246.0,2025-01-31,-12,18,63,2025-02-01,INVENTORY
363,2883.0,2025-01-08,-16,27,78,2025-01-08,INVENTORY
619,23694.0,2025-01-26,-17,21,97,2025-01-28,INVENTORY
12,32743.0,2025-01-03,-8,7,40,2025-01-03,INVENTORY
755,6223.0,2025-01-01,-10,41,5,2025-01-04,INVENTORY
568,35767.0,2025-01-02,-6,25,53,2025-01-05,INVENTORY
304,38150.0,2025-01-28,-8,42,51,2025-01-31,INVENTORY
526,49302.0,2025-01-04,-16,27,67,2025-01-04,INVENTORY
157,40608.0,2025-01-23,-5,27,111,2025-01-26,INVENTORY
192,41254.0,2025-01-13,-5,39,113,2025-01-15,INVENTORY
589,32759.0,2025-01-10,-18,41,22,2025-01-10,INVENTORY
256,5252.0,2025-01-29,-1,15,60,2025-01-29,INVENTORY
543,43784.0,2025-01-16,-6,42,49,2025-01-18,INVENTORY
88,15416.0,2025-01-28,-14,40,29,2025-01-30,INVENTORY
559,49556.0,2025-01-01,-13,31,79,2025-01-03,INVENTORY
761,45967.0,2025-01-30,-17,39,64,2025-02-01,INVENTORY
92,3195.0,2025-01-14,-9,26,0,2025-01-15,INVENTORY
474,15046.0,2025-01-15,-6,34,61,2025-01-15,INVENTORY
776,41851.0,2025-01-26,-1,5,9,2025-01-26,INVENTORY
636,48318.0,2025-01-13,-8,18,86,2025-01-14,INVENTORY
13,3147.0,2025-01-20,-14,18,101,2025-01-20,INVENTORY
322,1269.0,2025-01-24,-16,34,96,2025-01-24,INVENTORY
299,220.0,2025-01-12,-2,9,36,2025-01-15,INVENTORY
63,17128.0,2025-01-30,-4,24,100,2025-02-01,INVENTORY
696,2150.0,2025-01-23,-10,36,39,2025-01-26,INVENTORY
661,3198.0,2025-01-17,-8,7,58,2025-01-19,INVENTORY
174,1008.0,2025-01-10,199,13,16,2025-01-11,INVENTORY
475,27075.0,2025-01-10,103,10,102,2025-01-12,INVENTORY
313,15082.0,2025-01-19,29,33,86,2025-01-20,INVENTORY
638,13329.0,2025-01-02,0,7,58,2025-01-04,INVENTORY
85,17796.0,2025-01-26,30,38,33,2025-01-27,INVENTORY
714,31662.0,2025-01-03,125,5,74,2025-01-03,INVENTORY
109,47577.0,2025-01-05,217,21,58,2025-01-06,INVENTORY
74,3425.0,2025-01-30,161,35,102,2025-02-01,INVENTORY
649,17203.0,2025-01-20,123,9,57,2025-01-21,INVENTORY
409,37850.0,2025-01-03,188,29,46,2025-01-04,INVENTORY
362,46709.0,2025-01-16,88,40,88,2025-01-16,INVENTORY
563,36805.0,2025-01-13,144,17,82,2025-01-16,INVENTORY
600,25011.0,2025-01-26,27,30,100,2025-01-29,INVENTORY
462,24724.0,2025-01-12,117,6,2,2025-01-15,INVENTORY
546,8337.0,2025-01-24,167,15,92,2025-01-27,INVENTORY
87,14666.0,2025-01-04,161,36,83,2025-01-06,INVENTORY
44,34867.0,2025-01-12,44,6,1,2025-01-15,INVENTORY
64,18880.0,2025-01-31,89,6,30,2025-02-01,INVENTORY
312,39148.0,2025-01-02,141,11,99,2025-01-03,INVENTORY
592,39204.0,2025-01-29,65,16,94,2025-01-30,INVENTORY
353,10769.0,2025-01-01,216,43,37,2025-01-01,INVENTORY
299,25509.0,2025-01-18,7,32,47,2025-01-20,INVENTORY
573,15249.0,2025-01-09,116,20,83,2025-01-11,INVENTORY
147,14006.0,2025-01-11,61,11,22,2025-01-14,INVENTORY
158,28455.0,2025-01-20,9,16,115,2025-01-20,INVENTORY
186,25575.0,2025-01-25,160,21,47,2025-01-27,INVENTORY
287,45022.0,2025-01-07,202,7,116,2025-01-08,INVENTORY
535,12932.0,2025-01-01,45,9,47,2025-01-01,INVENTORY
468,28183.0,2025-01-07,83,34,28,2025-01-08,INVENTORY
517,16901.0,2025-01-29,39,40,0,2025-02-01,INVENTORY
161,34416.0,2025-01-26,236,27,29,2025-01-27,INVENTORY
282,16001.0,2025-01-05,104,36,99,2025-01-05,INVENTORY
570,47277.0,2025-01-09,65,24,102,2025-01-10,INVENTORY
494,27286.0,2025-01-15,113,15,85,2025-01-18,INVENTORY
373,29829.0,2025-01-04,195,21,55,2025-01-06,INVENTORY
693,22167.0,2025-01-31,25,39,42,2025-02-01,INVENTORY
520,39649.0,2025-01-24,55,30,71,2025-01-24,INVENTORY
771,37992.0,2025-01-13,140,39,41,2025-01-13,INVENTORY
786,19719.0,2025-01-02,85,31,5,2025-01-02,INVENTORY
10,27397.0,2025-01-26,173,18,20,2025-01-28,INVENTORY
555,14444.0,2025-01-09,75,5,55,2025-01-11,INVENTORY
761,28562.0,2025-01-08,167,25,71,2025-01-10,INVENTORY
348,10226.0,2025-01-16,194,36,8,2025-01-19,INVENTORY
544,47901.0,2025-01-01,170,25,88,2025-01-04,INVENTORY
595,41777.0,2025-01-30,143,5,63,2025-01-30,INVENTORY
385,13464.0,2025-01-09,239,29,13,2025-01-11,INVENTORY
474,21704.0,2025-01-23,216,32,90,2025-01-24,INVENTORY
707,46062.0,2025-01-12,190,14,15,2025-01-14,INVENTORY
676,16461.0,2025-01-30,82,11,117,2025-02-02,INVENTORY
123,36947.0,2025-01-04,119,7,111,2025-01-05,INVENTORY
683,15061.0,2025-01-04,69,31,44,2025-01-07,INVENTORY
130,17293.0,2025-01-19,38,43,62,2025-01-20,INVENTORY
514,37436.0,2025-01-08,123,12,2,2025-01-11,INVENTORY
550,11859.0,2025-01-03,225,23,56,2025-01-05,INVENTORY
168,41305.0,2025-01-09,205,42,52,2025-01-11,INVENTORY
91,6640.0,2025-01-17,220,14,15,2025-01-17,INVENTORY
671,40705.0,2025-01-05,249,43,16,2025-01-08,INVENTORY
564,8891.0,2025-01-11,108,36,51,2025-01-12,INVENTORY
527,5747.0,2025-01-14,55,19,8,2025-01-14,INVENTORY
384,23258.0,2025-01-11,19,26,60,2025-01-13,INVENTORY
731,21864.0,2025-01-24,27,13,8,2025-01-27,INVENTORY
132,29188.0,2025-01-23,170,8,76,2025-01-25,INVENTORY
133,13281.0,2025-01-26,106,42,52,2025-01-29,INVENTORY
258,47178.0,2025-01-23,157,41,18,2025-01-25,INVENTORY
726,12364.0,2025-01-07,93,32,76,2025-01-10,INVENTORY
800,30825.0,2025-01-25,218,37,72,2025-01-26,INVENTORY
29,9325.0,2025-01-18,3,12,98,2025-01-18,INVENTORY
682,38667.0,2025-01-15,44,20,116,2025-01-17,INVENTORY
731,46851.0,2025-01-26,215,11,44,2025-01-29,INVENTORY
737,25105.0,2025-01-21,85,21,57,2025-01-23,INVENTORY
